LON,LAT,NAME,MARK,LIVER,COMMENT
27,44,フブキング卿の拠点,home,白上フブキ,ポータルという金属製の古びた施設から飛び降りた橋の下。穴を塞いでしまえば比較的安全。
29,44,まつり城,fort,夏色まつり,フブキング拠点の隣に広がる平原。滝は美しいが、スピノサウルスやカルキノスが頻繁に湧く。&#10;早くも工場がスタートし、姫森ルーナがヒモとして同居している。
30,43,わための第一拠点,home,角巻わため,まつり城を見下ろす高台の小屋。&#10;第二拠点は後述する天音かなたの旧拠点付近に建っている。
40,30,三期生ハウス（旧）,city,"不知火フレア,宝鐘マリン",不知火フレアと宝鐘マリンが最初に合流して建てた拠点、現在は引っ越し済み。&#10;ラヴェジャーやユタラプトルに襲われやすい危険地帯だが、それゆえラヴェジャーの捕獲や繁殖が盛んに行われていた。
60,30,三期生ハウス（新）,city,兎田ぺこら,兎田ぺこらの誘導によって引っ越した新居。&#10;川には大型の肉食がいるものの、徒歩で中層に行ける攻略向きの立地。
50,40,杞憂ブリッジ,home,桐生ココ,桐生ココが住んでいる超危険地帯。&#10;資源は豊富だが川に隣接しているため肉食が多く、メガロサウルスのような中層の生物も湧く。
38,39,ロボ子さんの秘密基地,home,ロボ子さん,岩場のトンネルを利用した拠点。&#10;野生の敵は入ってこないため安全だが、拠点内に赤いキノコや蜂の巣などの死亡フラグが存在している。
55,48,ロボ子さんの中層秘密基地,home,ロボ子さん,ガス田がある中層の水辺、現在建設中。
47,22,かなたの拠点（旧）,home,天音かなた,非常に危険な川辺の拠点。スピノサウルス、カルキノス、ラヴェジャー、ユタラプトルが頻繁に湧く。&#10;付近に住んでいた三期生は引っ越していったが、わためが近所に大きな石造りの城（第二拠点）を建てた。&#10;また、付近には「みっころね」のコラボで使用されたベッドもある。
35,45,かなたの拠点（新）,home,天音かなた,フブキングやまつり拠点から水辺を挟んだ対岸。&#10;金属、ガス田、緑ジェム水晶、真珠などの資源が豊富で大型の恐竜には襲われにくい。
48,23,さくらみこの上層拠点,home,さくらみこ,最初に建てた拠点、現在は使われていない模様。
50,45,みっころねの上層拠点,home,"さくらみこ,戌神ころね",みこと戌神ころねがコラボした際に作った簡素な拠点。石の土台にベッドが2つ並んでいるのみ。
70,50,さくらみこの第一中層拠点,home,さくらみこ,現在メインで使っている拠点、小さな滝がある水辺に金属で陸地を作り、ロックドレイク孵化用のエアコンが並んでいる。
52,37,さくらみこの第二中層拠点,home,さくらみこ,巨大門で仕切られた広い敷地、今は特に何もない。
63,38,ムキロゼ（＆ちょこ）の中層拠点,home,"アキ・ローゼンタール,癒月ちょこ",ムキロゼがスピノサウルスやパラケラテリウムを引き連れて移動してきた中層拠点。&#10;資源が豊富な神立地だが、水辺にあるため襲撃も多かった。&#10;やがて、癒月ちょこが合流すると文明が一気に進み、中層どころかアベレーションで最も栄えた大拠点となっている。&#10;MODが入ってからは気球やテレポーターが建造されるなど、攻略の中心として24時間フル稼働。
40,30,ちょこ先生の拠点,home,癒月ちょこ,大量のスピノサウルスを飼っている繁殖場。危険な土地であったが、もはやスピノ軍団で一方的に蹂躙する狩場。&#10;ムキロゼ拠点で学んだ機械文明で自前の工場を完成させており、テレポーターも設置してある。&#10;スピノサウルスの放牧場は肥大化し、ついには旧三期生ハウスを内側に取り込んでしまった。
70,62,孕み部屋,home,,下層でリーパークイーンに卵を産み付けられた後、出産するための小屋。&#10;ギリギリ放射能の範囲外であり、内部はベッドや風呂などの家具でデコレーションされている。
