X,Y,NAME,MARK,LIVER,COMMENT
19,17,ホロ村,city,アキ・ローゼンタール,ほとんどのメンバーが住んでいる大拠点。マップ最北西のオベリスクを中心に海岸沿いを覆っている。&#10;村の中は安全だが、周囲のジャングルには肉食のサーベルタイガーやユタラプトル、岩場にはアロサウルスやT-レックスなど、数々の危険が待ち構えている。&#10;ここでARKの世界に慣れ、自分の家を作り、大空に飛び立つまでがチュートリアル。&#10;プテラノドンのサドル素材に必要なため、村周辺の亀（カルボミネス）が乱獲されている。
29,15,ころねの拠点（東京ドーム）,home,戌神ころね,ホロ村から海岸沿いに東へ移動した離れの拠点。家の前にはU字型の湾「バイキング・ベイ」が広がる。
26,12,おかゆの拠点,home,猫又おかゆ,ホロ村ところね拠点の間にある波打ち際の家。大きな岩の柱に囲まれていて大型の驚異には襲われにくい。
77,12,三角関係城（まつり城）,fort,"赤井はあと,夏色まつり,角巻わため",赤井はあと、夏色まつり、角巻わためが共同制作した石造りの拠点。マップ北東の海岸にあり、南には大草原が広がっている。&#10;風力発電を始め工業用グリル、工業炉、金庫、ビール樽、化学作業台、エレベーター（試験運用）などホロ鯖一の設備が整っている。&#10;まつりが次々と新入りを連れ込むため、上記の三名に加え現在はアキロゼ、ルーナ姫らも同居中。&#10;付近の海岸に打ち上げられる鯨（バシロサウルス）の死体は、貴重な鯨油とケラチンの採集ポイント。南にはワイバーンの巣がある。
77,23,ロボ子さんの拠点,home,ロボ子さん,三角関係城の南にある平原、滝のすぐそば。付近の湖で釣りをするために作った自身の拠点。&#10;すぐ近くの【X75、Y24】には釣り餌となる樹液採集所があるが、平原は肉食恐竜が湧き、ワイバーンの巣も近くて危険なため現在は倉庫に。
79,18,ロボ子さんの秘密基地,fort,ロボ子さん,上記の拠点が危険なため、安全な地を求めて発見した自然洞窟。平原を流れる滝の裏側にある。&#10;生物がスポーンしない上に水源となる池もあり、内部はワイバーンが数体いても大丈夫なくらい広い。&#10;常闇トワが引っ越してきたが、さすがにディプロドクスは巨大すぎて入り口を通れなかった。
47,26,ロボ子さんの第2秘密基地,fort,ロボ子さん,渓谷付近の大きな滝の裏にある洞窟。ロボ子さんが開拓し、百鬼あやめを住まわせている。
84,48,ロボ子さんの第3秘密基地,fort,ロボ子さん,砂漠にまで進出したロボ子さんの拠点。自然洞窟の中に大量の水晶、鉄、黒曜石が揃っていて、サボテンも豊富。内部には水がある。
72,18,トワ様の拠点,home,常闇トワ,平原に建てた常闇トワの拠点。&#10;やはり危険地帯であり、テイムしたばかりの恐竜がアロサウルスの群れに襲われてしまったため、現在はロボ子さんの拠点に引っ越している。
46,30,えりーと新拠点,factory,さくらみこ,渓谷から滝を見下ろす山岳地帯に建てた拠点。さくらみこが開拓してホロ村から引っ越した。&#10;眺めは良いが近郊にギガノトサウルスをはじめ危険な肉食恐竜が生息しており、ここで度々ワイバーンやグリフォンを失っている。&#10;文明化が進み、付近の高台にエリート工場が完成した。
34,60,会長の拠点,home,桐生ココ,ホロ村から沼を越え、はるか南に離れた桐生ココの廃人拠点。&#10;水晶、金属、黒曜石が揃った場所を厳選し、木材や鉱石を取るのが得意な恐竜を集めて短時間で科学文明を揃えている。&#10;効率厨＆廃人仕様の作りで無駄がなく、湊あくあが頻繁に訪れて設備を使う。
28,78,西成ドヤ,city,桐生ココ,桐生ココの記憶を元に再現された大阪市西成区の宿泊施設。とても簡素なワラの建物。
35,28,るしあ城,fort,潤羽るしあ,雪山に作られた独特なセンスの豆腐小屋。城主は雪の女王を自称している。
24,64,フレアの拠点,home,不知火フレア,ホロ村から遠く離れた南、ほぼ大陸の反対側に作った不知火フレアの拠点。&#10;海に突き出した半島の先端にあり、景観はとても良い。参入から4日で複数の恐竜を揃え、誰の力も借りずに全てをたった1人でこなしている猛者の家。&#10;対岸の島は資源が豊富で、海を渡って採掘しながら強力な武器を作っている。
19,27,ぺこらの処刑部屋,skull,兎田ぺこら,檻や拷問された死体などが転がっている遺跡、ぺこらがドードーへの加虐を楽しむために使っている。
67,25,ワイバーンの巣,dragon,,三角関係城から南の平原を抜け、雪山と火山に囲まれた過酷な環境にある真っ赤な谷。&#10;ワイバーンの攻撃は苛烈で多くの場合は死を伴うが、湊あくあがワイバーンの卵を入手、テイムに成功したことから卵を求めて特攻する者が続出。廃人トップ勢に至っては個体の厳選を始めている。
35,37,渓谷,dragon,,沼や湖の源流となる険しい渓谷。プテラノドンを手に入れた面々がホロ村から旅立って狩りをする。&#10;凶暴なスピノサウルスの生息地であり、切り立った崖から流れる滝は絶景だが落下事故が多発。蜂蜜や水晶の採集ポイントでもある。
18,35,沼,skull,,ホロ村の南にある大湿地帯。毒虫やワニが徘徊し、恐るべき死亡率の高さを誇っている。
44,64,古代の寺院,dungeon,,内部に水が流れる美しい古代建築物。岩肌に隠されており、第一到達者は姫森ルーナ。&#10;建物内は設置不可だが、付近にある滝の水中に湊あくあの石碑が立っている。
71,71,砂漠の古代遺跡（あくあ帝国）,fort,湊あくあ,湊あくあが命名した巨大な古代遺跡群。&#10;河川に隣接しているため水があり、石造りの建物は丈夫で安全、さらに黒曜石が豊富に採掘できる。
